_id,name,channel,link,date,viewCount
Taylor Swift - We Are Never Ever Getting Back Together,Taylor Swift - We Are Never Ever Getting Back Together,TaylorSwiftVEVO,https://www.youtube.com/watch?v=WA4iX5D9Z64&authuser=1,2023-02-13T17:25:00.000Z,23
Icon For Hire - Get Well,Icon For Hire - Get Well,IconForHireVEVO,https://www.youtube.com/watch?v=iS8sqgBgzG8&authuser=1,2023-08-25T12:33:00.000Z,23
Taylor Swift - Mean,Taylor Swift - Mean,TaylorSwiftVEVO,https://www.youtube.com/watch?v=jYa1eI1hpDE&authuser=1,2023-01-16T12:48:00.000Z,23
TRUSTcompany - Downfall,TRUSTcompany - Downfall,TRUSTcompanyVEVO,https://www.youtube.com/watch?v=BE_0m5OkyN4&authuser=1,2023-01-23T16:35:00.000Z,23
Seether - Truth,Seether - Truth,SeetherVEVO,https://www.youtube.com/watch?v=zBXkWVZD4qE&authuser=1,2020-12-05T16:26:00.000Z,23
SOiL - Redefine,SOiL - Redefine,SOiLVEVO,https://www.youtube.com/watch?v=WkqJ8SvaDfc&authuser=1,2014-02-17T17:25:00.000Z,23
blink-182 - Man Overboard,blink-182 - Man Overboard,blink182VEVO,https://www.youtube.com/watch?v=u38TqU5rAyk&authuser=1,2023-11-29T20:09:00.000Z,22
The Script - Hall of Fame (Official Video) ft. will.i.am,The Script - Hall of Fame (Official Video) ft. will.i.am,TheScriptVEVO,https://www.youtube.com/watch?v=mk48xRzuNvA&authuser=1,2023-05-15T14:00:00.000Z,22
The Letter Black - Up From The Ashes,The Letter Black - Up From The Ashes,TheLetterBlackVEVO,https://www.youtube.com/watch?v=y1e3HrFAuGo&authuser=1,2023-01-23T17:55:00.000Z,22
30 Seconds To Mars - Capricorn (A Brand New Name) (Official Music Video),30 Seconds To Mars - Capricorn (A Brand New Name) (Official Music Video),ThirtySecondsToMarsVEVO,https://www.youtube.com/watch?v=c-tqzcq1BY0&authuser=1,2019-12-19T16:05:00.000Z,22
P!NK - Sober,P!NK - Sober,PinkVEVO,https://www.youtube.com/watch?v=nJ3ZM8FDBlg&authuser=1,2023-03-17T16:51:00.000Z,22
The Pretty Reckless - Make Me Wanna Die,The Pretty Reckless - Make Me Wanna Die,PrettyRecklessVEVO,https://www.youtube.com/watch?v=txBfhpm1jI0&authuser=1,2024-01-10T18:30:00.000Z,22
You Me At Six - Room To Breathe (Official Video),You Me At Six - Room To Breathe (Official Video),YouMeAtSixVEVO,https://www.youtube.com/watch?v=IPtUV01R1RE&authuser=1,2018-12-31T18:19:00.000Z,21
Jonas Blue - Fast Car ft. Dakota (Official Video),Jonas Blue - Fast Car ft. Dakota (Official Video),JonasBlueVEVO,https://www.youtube.com/watch?v=5yXQJBU8A28&authuser=1,2019-11-30T15:46:00.000Z,21
Papa Roach - Hollywood Whore (Explicit Version),Papa Roach - Hollywood Whore (Explicit Version),PapaRoachVEVO,https://www.youtube.com/watch?v=XjQvk_R20r4&authuser=1,2018-04-22T12:40:00.000Z,21
blink-182 - Pin the Grenade (Lyric Video),blink-182 - Pin the Grenade (Lyric Video),blink182VEVO,https://www.youtube.com/watch?v=F0JlOOtB5ug&authuser=1,2024-01-05T19:39:00.000Z,21
The Pretty Reckless - Just Tonight (Official Music Video),The Pretty Reckless - Just Tonight (Official Music Video),PrettyRecklessVEVO,https://www.youtube.com/watch?v=Y7VGOnV2QhU&authuser=1,2019-01-21T22:06:00.000Z,20
Taylor Swift - I Knew You Were Trouble,Taylor Swift - I Knew You Were Trouble,TaylorSwiftVEVO,https://www.youtube.com/watch?v=vNoKguSdy4Y&authuser=1,2022-09-29T22:13:00.000Z,20
Sum 41 - Fatlip (Official Music Video),Sum 41 - Fatlip (Official Music Video),Sum41VEVO,https://www.youtube.com/watch?v=CMX2lPum_pg&authuser=1,2023-11-29T18:46:00.000Z,20
The Pretty Reckless - Miss Nothing (Official Music Video),The Pretty Reckless - Miss Nothing (Official Music Video),PrettyRecklessVEVO,https://www.youtube.com/watch?v=hFlHsKExcYg&authuser=1,2020-05-18T14:35:00.000Z,20
Ella Henderson - Ghost (Official Video),Ella Henderson - Ghost (Official Video),EllaHVEVO,https://www.youtube.com/watch?v=tA8AfQaUnXM&authuser=1,2023-09-16T18:04:00.000Z,20
Evanescence - Call Me When You're Sober,Evanescence - Call Me When You're Sober,EvanescenceVEVO,https://www.youtube.com/watch?v=_RrA-R5VHQs&authuser=1,2023-03-17T11:35:00.000Z,20
Bring Me The Horizon - in the dark (Official Video),Bring Me The Horizon - in the dark (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=Thazgd1HFus&authuser=1,2024-02-23T12:49:00.000Z,19
Rihanna - We Found Love ft. Calvin Harris,Rihanna - We Found Love ft. Calvin Harris,RihannaVEVO,https://www.youtube.com/watch?v=tg00YEETFzg&authuser=1,2023-07-04T12:12:00.000Z,19
Pale Waves - Fall To Pieces,Pale Waves - Fall To Pieces,PaleWavesVEVO,https://www.youtube.com/watch?v=j0tD-2C9vsw&authuser=1,2024-02-15T14:37:00.000Z,18
Avril Lavigne - Girlfriend (Official Video),Avril Lavigne - Girlfriend (Official Video),AvrilLavigneVEVO,https://www.youtube.com/watch?v=Bg59q4puhmg&authuser=1,2022-12-29T22:12:00.000Z,18
Fall Out Boy - Uma Thurman (Official Music Video),Fall Out Boy - Uma Thurman (Official Music Video),FallOutBoyVEVO,https://www.youtube.com/watch?v=2VTxYQL2SbA&authuser=1,2021-04-23T14:35:00.000Z,18
Angels and Airwaves - Surrender,Angels and Airwaves - Surrender,AngelsAirwavesVEVO,https://www.youtube.com/watch?v=RM73er53inA&authuser=1,2024-02-14T12:54:00.000Z,18
Rise Against - Satellite,Rise Against - Satellite,RiseAgainstVEVO,https://www.youtube.com/watch?v=6nQCxwneUwA&authuser=1,2023-11-29T18:15:00.000Z,18
Sum 41 - The Hell Song (Official Music Video),Sum 41 - The Hell Song (Official Music Video),Sum41VEVO,https://www.youtube.com/watch?v=7pE8ReA5cn4&authuser=1,2023-08-25T15:16:00.000Z,17
The Offspring - Want You Bad (Official Music Video),The Offspring - Want You Bad (Official Music Video),OffspringVEVO,https://www.youtube.com/watch?v=_g19fCJotPc&authuser=1,2023-08-25T15:26:00.000Z,17
The Calling - Wherever You Will Go (First Video- in Tijuana),The Calling - Wherever You Will Go (First Video- in Tijuana),TheCallingVEVO,https://www.youtube.com/watch?v=iAP9AF6DCu4&authuser=1,2023-11-27T16:48:00.000Z,17
Tonight Alive - Lonely Girl,Tonight Alive - Lonely Girl,TonightAliveVEVO,https://www.youtube.com/watch?v=yrkfkwzChoM&authuser=1,2022-11-10T16:07:00.000Z,17
Alien Ant Farm - Smooth Criminal (Official Music Video),Alien Ant Farm - Smooth Criminal (Official Music Video),AlienAntFarmVEVO,https://www.youtube.com/watch?v=CDl9ZMfj6aE&authuser=1,2023-12-13T15:17:00.000Z,17
Sum 41 - In Too Deep (Official Music Video),Sum 41 - In Too Deep (Official Music Video),Sum41VEVO,https://www.youtube.com/watch?v=emGri7i8Y2Y&authuser=1,2023-08-25T15:09:00.000Z,17
System Of A Down - Aerials (Official HD Video),System Of A Down - Aerials (Official HD Video),systemofadownVEVO,https://www.youtube.com/watch?v=L-iepu3EtyE&authuser=1,2019-05-25T21:51:00.000Z,17
Olivia Rodrigo - get him back! (Official Video),Olivia Rodrigo - get him back! (Official Video),OliviaRodrigoVEVO,https://www.youtube.com/watch?v=ZsJ-BHohXRI&authuser=1,2024-02-14T12:44:00.000Z,17
"Fall Out Boy - Immortals (From ""Big Hero 6"")","Fall Out Boy - Immortals (From ""Big Hero 6"")",FallOutBoyVEVO,https://www.youtube.com/watch?v=l9PxOanFjxQ&authuser=1,2019-01-25T18:26:00.000Z,16
Fall Out Boy - Thnks fr th Mmrs (Official Music Video),Fall Out Boy - Thnks fr th Mmrs (Official Music Video),FallOutBoyVEVO,https://www.youtube.com/watch?v=onzL0EM1pKY&authuser=1,2023-08-25T16:13:00.000Z,16
Arctic Monkeys - Why'd You Only Call Me When You're High? (Official Video),Arctic Monkeys - Why'd You Only Call Me When You're High? (Official Video),ArcticMonkeysVEVO,https://www.youtube.com/watch?v=6366dxFf-Os&authuser=1,2017-04-13T15:09:00.000Z,16
Black Veil Brides - In The End (Closed-Captioned),Black Veil Brides - In The End (Closed-Captioned),BVBArmyVEVO,https://www.youtube.com/watch?v=f0EQlIzPowM&authuser=1,2017-02-24T13:59:00.000Z,16
Lady Gaga - Applause,Lady Gaga - Applause,LadyGagaVEVO,https://www.youtube.com/watch?v=pco91kroVgQ&authuser=1,2023-03-17T16:33:00.000Z,16
Three Days Grace - I Hate Everything About You (Official Video),Three Days Grace - I Hate Everything About You (Official Video),ThreeDaysGraceVEVO,https://www.youtube.com/watch?v=d8ekz_CSBVg&authuser=1,2023-08-25T16:35:00.000Z,16
Wheatus - Teenage Dirtbag (Official Video),Wheatus - Teenage Dirtbag (Official Video),WheatusVEVO,https://www.youtube.com/watch?v=FC3y9llDXuM&authuser=1,2024-02-14T13:57:00.000Z,16
Three Days Grace - The Mountain (Official Video),Three Days Grace - The Mountain (Official Video),ThreeDaysGraceVEVO,https://www.youtube.com/watch?v=XblV5A1PlDo&authuser=1,2019-05-25T23:13:00.000Z,16
AFI - Miss Murder (Official Music Video) (Long Version),AFI - Miss Murder (Official Music Video) (Long Version),AFIVEVO,https://www.youtube.com/watch?v=YU4hhNKsPog&authuser=1,2022-06-04T16:04:00.000Z,15
