_id,name,channel,link,date,image,viewCount
Taylor Swift - The Story Of Us,Taylor Swift - The Story Of Us,TaylorSwiftVEVO,https://www.youtube.com/watch?v=nN6VR92V70M&authuser=1,2023-11-24T16:36:00.000Z,https://i.ytimg.com/vi/nN6VR92V70M/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,30
Bring Me The Horizon - Throne,Bring Me The Horizon - Throne,BMTHOfficialVEVO,https://www.youtube.com/watch?v=Ow_qI_F2ZJI&authuser=1,2024-02-23T13:03:00.000Z,https://i.ytimg.com/vi/Ow_qI_F2ZJI/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,30
Three Days Grace - Never Too Late,Three Days Grace - Never Too Late,ThreeDaysGraceVEVO,https://www.youtube.com/watch?v=lL2ZwXj1tXM&authuser=1,2021-04-06T12:43:00.000Z,https://i.ytimg.com/vi/lL2ZwXj1tXM/mqdefault.jpg?at=AJOi4lHmgn__uQMmMl3WiLth1KyS%3A1710613382552,30
The All-American Rejects - Dirty Little Secret (Official Music Video),The All-American Rejects - Dirty Little Secret (Official Music Video),AllAmericanRjctsVEVO,https://www.youtube.com/watch?v=gPDcwjJ8pLg&authuser=1,2023-11-27T16:28:00.000Z,https://i.ytimg.com/vi/gPDcwjJ8pLg/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,29
Pale Waves - Jealousy (Official Video),Pale Waves - Jealousy (Official Video),PaleWavesVEVO,https://www.youtube.com/watch?v=bRQBaJ8wu6M&authuser=1,2024-02-20T10:47:00.000Z,https://i.ytimg.com/vi/bRQBaJ8wu6M/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,28
The Letter Black - Fire With Fire,The Letter Black - Fire With Fire,TheLetterBlackVEVO,https://www.youtube.com/watch?v=M7lEbeejgOE&authuser=1,2023-05-15T14:28:00.000Z,https://i.ytimg.com/vi/M7lEbeejgOE/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,28
Avril Lavigne - How You Remind Me (Official Audio),Avril Lavigne - How You Remind Me (Official Audio),AvrilLavigneVEVO,https://www.youtube.com/watch?v=weeluzD_hxk&authuser=1,2023-04-08T23:01:00.000Z,https://i.ytimg.com/vi/weeluzD_hxk/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,27
Icon For Hire - Make A Move,Icon For Hire - Make A Move,IconForHireVEVO,https://www.youtube.com/watch?v=e_S9VvJM1PI&authuser=1,2024-01-07T00:48:00.000Z,https://i.ytimg.com/vi/e_S9VvJM1PI/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,27
Seether - Remedy,Seether - Remedy,SeetherVEVO,https://www.youtube.com/watch?v=FZLILV18ut8&authuser=1,2019-05-25T22:09:00.000Z,https://i.ytimg.com/vi/FZLILV18ut8/mqdefault.jpg?at=AJOi4lEZVSTWD8N46AGlDdkBYUTJ%3A1710613723580,27
Bring Me The Horizon - Teardrops (Official Video),Bring Me The Horizon - Teardrops (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=L5uV3gmOH9g&authuser=1,2024-02-20T10:32:00.000Z,https://i.ytimg.com/vi/L5uV3gmOH9g/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,27
Tonight Alive - The Edge (Official Video),Tonight Alive - The Edge (Official Video),TonightAliveVEVO,https://www.youtube.com/watch?v=kRDVXnACx7Y&authuser=1,2023-11-27T16:32:00.000Z,https://i.ytimg.com/vi/kRDVXnACx7Y/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,26
Sick Puppies - You're Going Down (Official Video),Sick Puppies - You're Going Down (Official Video),SickPuppiesVEVO,https://www.youtube.com/watch?v=liW-kWFiXtQ&authuser=1,2023-01-23T16:53:00.000Z,https://i.ytimg.com/vi/liW-kWFiXtQ/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,26
blink-182 - Dammit,blink-182 - Dammit,blink182VEVO,https://www.youtube.com/watch?v=sT0g16_LQaQ&authuser=1,2023-11-29T19:36:00.000Z,https://i.ytimg.com/vi/sT0g16_LQaQ/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,26
blink-182 - Josie,blink-182 - Josie,blink182VEVO,https://www.youtube.com/watch?v=I6kfin-UeAQ&authuser=1,2023-12-06T14:40:00.000Z,https://i.ytimg.com/vi/I6kfin-UeAQ/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,25
Amaranthe - Digital World (Official Video),Amaranthe - Digital World (Official Video),AmarantheMusicVEVO,https://www.youtube.com/watch?v=z6PYAkXO-bU&authuser=1,2020-12-08T12:31:00.000Z,https://i.ytimg.com/vi/z6PYAkXO-bU/mqdefault.jpg?at=AJOi4lEnZ6y7xoqzd5fqjz8FKxRr%3A1710613553438,25
Avicii - Wake Me Up (Official Video),Avicii - Wake Me Up (Official Video),AviciiOfficialVEVO,https://www.youtube.com/watch?v=IcrbM1l_BoI&authuser=1,2023-01-16T12:52:00.000Z,https://i.ytimg.com/vi/IcrbM1l_BoI/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,25
Calvin Harris & Alesso - Under Control (Official Video) ft. Hurts,Calvin Harris & Alesso - Under Control (Official Video) ft. Hurts,CalvinHarrisVEVO,https://www.youtube.com/watch?v=yZqmarGShxg&authuser=1,2017-10-14T15:11:00.000Z,https://i.ytimg.com/vi/yZqmarGShxg/mqdefault.jpg?at=AJOi4lGUCfEgjsg6eTomMEvwInjX%3A1710614429526,25
Limp Bizkit - Rollin' (Air Raid Vehicle),Limp Bizkit - Rollin' (Air Raid Vehicle),LimpBizkitVEVO,https://www.youtube.com/watch?v=RYnFIRc0k6E&authuser=1,2023-01-23T17:20:00.000Z,https://i.ytimg.com/vi/RYnFIRc0k6E/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,24
Rob Zombie - Living Dead Girl,Rob Zombie - Living Dead Girl,RobZombieVEVO,https://www.youtube.com/watch?v=BvsMPOfblfg&authuser=1,2023-11-09T16:48:00.000Z,https://i.ytimg.com/vi/BvsMPOfblfg/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,24
Papa Roach - Scars (Official Music Video),Papa Roach - Scars (Official Music Video),PapaRoachVEVO,https://www.youtube.com/watch?v=eHbNU9WuVgw&authuser=1,2022-06-04T17:20:00.000Z,https://i.ytimg.com/vi/eHbNU9WuVgw/mqdefault.jpg?at=AJOi4lEAZijToYL3729x7PL8I9rw%3A1710612978116,24
Avicii vs Nicky Romero - I Could Be The One (Nicktim),Avicii vs Nicky Romero - I Could Be The One (Nicktim),AviciiOfficialVEVO,https://www.youtube.com/watch?v=bek1y2uiQGA&authuser=1,2018-12-28T22:43:00.000Z,https://i.ytimg.com/vi/bek1y2uiQGA/mqdefault.jpg?at=AJOi4lEZVSTWD8N46AGlDdkBYUTJ%3A1710613723580,24
Taylor Swift - We Are Never Ever Getting Back Together,Taylor Swift - We Are Never Ever Getting Back Together,TaylorSwiftVEVO,https://www.youtube.com/watch?v=WA4iX5D9Z64&authuser=1,2023-02-13T17:25:00.000Z,https://i.ytimg.com/vi/WA4iX5D9Z64/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,23
Seether - Truth,Seether - Truth,SeetherVEVO,https://www.youtube.com/watch?v=zBXkWVZD4qE&authuser=1,2020-12-05T16:26:00.000Z,https://i.ytimg.com/vi/zBXkWVZD4qE/mqdefault.jpg?at=AJOi4lEnZ6y7xoqzd5fqjz8FKxRr%3A1710613553438,23
Icon For Hire - Get Well,Icon For Hire - Get Well,IconForHireVEVO,https://www.youtube.com/watch?v=iS8sqgBgzG8&authuser=1,2023-08-25T12:33:00.000Z,https://i.ytimg.com/vi/iS8sqgBgzG8/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,23
TRUSTcompany - Downfall,TRUSTcompany - Downfall,TRUSTcompanyVEVO,https://www.youtube.com/watch?v=BE_0m5OkyN4&authuser=1,2023-01-23T16:35:00.000Z,https://i.ytimg.com/vi/BE_0m5OkyN4/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,23
Taylor Swift - Mean,Taylor Swift - Mean,TaylorSwiftVEVO,https://www.youtube.com/watch?v=jYa1eI1hpDE&authuser=1,2023-01-16T12:48:00.000Z,https://i.ytimg.com/vi/jYa1eI1hpDE/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,23
SOiL - Redefine,SOiL - Redefine,SOiLVEVO,https://www.youtube.com/watch?v=WkqJ8SvaDfc&authuser=1,2014-02-17T17:25:00.000Z,https://i.ytimg.com/vi/WkqJ8SvaDfc/mqdefault.jpg?at=AJOi4lEUkoBsLV0JRbvjuv5VTGFF%3A1710614135428,23
